iter	Passed	Remaining
187	1122	4850
188	1127	4838
189	1135	4839
190	1137	4816
191	1140	4799
192	1151	4813
193	1154	4797
194	1165	4813
195	1168	4791
196	1173	4783
197	1181	4785
198	1184	4767
199	1187	4749
200	1194	4748
201	1197	4731
202	1200	4712
203	1202	4692
204	1208	4687
205	1211	4670
206	1214	4651
207	1216	4633
208	1219	4614
209	1226	4612
210	1228	4593
211	1230	4574
212	1246	4607
213	1253	4604
214	1263	4614
215	1273	4620
216	1277	4609
217	1286	4615
218	1289	4597
219	1292	4583
220	1295	4565
221	1302	4565
222	1305	4550
223	1308	4533
224	1312	4519
225	1318	4515
226	1321	4501
227	1324	4483
228	1327	4469
229	1331	4459
230	1334	4441
231	1337	4426
232	1343	4422
233	1345	4405
234	1348	4389
235	1350	4371
236	1353	4356
237	1356	4343
238	1358	4325
239	1362	4313
240	1370	4315
241	1373	4301
242	1382	4308
243	1387	4299
244	1396	4304
245	1401	4295
246	1404	4281
247	1417	4298
248	1429	4312
249	1433	4300
250	1442	4305
251	1445	4291
252	1459	4310
253	1463	4297
254	1465	4280
255	1466	4262
256	1477	4270
257	1479	4255
258	1482	4240
259	1487	4233
260	1489	4218
261	1492	4203
262	1494	4188
263	1503	4192
264	1507	4180
265	1513	4176
266	1515	4161
267	1517	4146
268	1521	4133
269	1523	4118
270	1530	4117
271	1533	4105
272	1536	4091
273	1538	4075
274	1544	4071
275	1546	4056
276	1548	4041
277	1551	4029
278	1553	4013
279	1560	4012
280	1562	3998
281	1564	3983
282	1566	3969
283	1569	3955
284	1575	3952
285	1578	3941
286	1583	3933
287	1590	3932
288	1594	3923
289	1599	3915
290	1611	3925
291	1621	3931
292	1627	3927
293	1631	3917
294	1638	3915
295	1640	3901
296	1642	3888
297	1645	3876
298	1655	3880
299	1659	3872
300	1669	3877
301	1672	3866
302	1675	3853
303	1683	3853
304	1686	3843
305	1688	3829
306	1692	3819
307	1706	3833
308	1715	3836
309	1718	3825
310	1720	3812
311	1723	3801
312	1731	3800
313	1735	3791
314	1737	3778
315	1751	3791
316	1754	3780
317	1765	3785
318	1769	3776
319	1779	3781
320	1782	3770
321	1784	3757
322	1792	3756
323	1795	3746
324	1797	3733
325	1801	3724
326	1807	3720
327	1810	3709
328	1817	3707
329	1820	3695
330	1834	3708
331	1855	3733
332	1859	3724
333	1866	3722
334	1869	3711
335	1871	3698
336	1873	3685
337	1882	3686
338	1884	3674
339	1887	3663
340	1897	3666
341	1899	3654
342	1901	3642
343	1904	3631
344	1914	3635
345	1917	3625
346	1919	3612
347	1929	3614
348	1931	3602
349	1933	3590
350	1944	3595
351	1947	3585
352	1950	3574
353	1957	3572
354	1959	3560
355	1966	3557
356	1978	3564
357	1981	3553
358	1990	3554
359	1994	3546
360	1996	3534
361	2004	3532
362	2007	3522
363	2009	3510
364	2011	3498
365	2013	3488
366	2016	3478
367	2018	3467
368	2021	3456
369	2023	3444
370	2031	3443
371	2035	3436
372	2037	3425
373	2043	3420
374	2046	3411
375	2049	3401
376	2061	3406
377	2068	3404
378	2077	3403
379	2079	3392
380	2081	3381
381	2084	3372
382	2093	3371
383	2095	3360
384	2097	3349
385	2099	3339
386	2106	3336
387	2111	3331
388	2117	3325
389	2126	3325
390	2129	3316
391	2132	3308
392	2139	3304
393	2143	3296
394	2153	3298
395	2158	3291
396	2174	3302
397	2181	3298
398	2184	3289
399	2186	3279
400	2193	3276
401	2198	3270
402	2203	3263
403	2215	3268
404	2218	3259
405	2230	3263
406	2234	3255
407	2249	3263
408	2252	3254
409	2264	3258
410	2268	3250
411	2283	3259
412	2291	3256
413	2305	3263
414	2308	3254
415	2312	3246
416	2317	3240
417	2324	3237
418	2333	3235
